,Links,Price,Title,Adress,Scraping date,Offer number,Surface,Number of rooms,Market type,Building type,Floor,Number of floors in building,Windows type,Heating type,Construction year,Property condition,Monthly charges,Ownership
40,https://www.otodom.pl/pl/oferta/narozny-apartament-z-olbrzymim-ogrodem-ID4e5y5,1 122 366 zł,Narożny apartament z olbrzymim ogrodem,"Warszawa, Mokotów, Siekierki",2021-11-05,62463269,"67,27 m²",3,pierwotny,apartamentowiec,parter,2,n/a,n/a,2022,do wykończenia,n/a,n/a
41,https://www.otodom.pl/pl/oferta/zlota-44-156-m2-4-pokoje-3-lazienki-ID4cKou,7 490 000 zł,Złota 44 | 156 m2 | 4 pokoje | 3 łazienki |,"Warszawa, Centrum, ul. Złota",2021-11-05,62143622,156 m²,4,wtórny,apartamentowiec,> 10,52,plastikowe,miejskie,2016,do zamieszkania,4 400 zł,pełna własność
42,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-3-pok-mokotow-belwederska-ID49FhC,1 325 000 zł,"Sprzedam BEZPOŚREDNIO 3 pok., Mokotów, Belwederska","Warszawa, Mokotów, Dolny Mokotów, ul. Belwederska",2021-11-05,61408992,76 m²,3,wtórny,kamienica,1,5,plastikowe,miejskie,1966,do zamieszkania,700 zł,pełna własność
43,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-ul-1-sierpnia-ID4dmCU,675 000 zł,3-pokojowe mieszkanie na ul. 1 sierpnia,"Warszawa, Włochy, 1 Sierpnia",2021-11-05,62290588,"54,16 m²",3,wtórny,n/a,9,10,n/a,miejskie,n/a,do zamieszkania,500 zł,pełna własność
44,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-do-adaptacji-ID4dlk3,435 000 zł,2 pokojowe mieszkanie do adaptacji,"Warszawa, Włochy, Okęcie, Franciszka Hynka",2021-11-05,62285575,"41,50 m²",2,wtórny,blok,parter,4,n/a,miejskie,1960,do remontu,450 zł,pełna własność
45,https://www.otodom.pl/pl/oferta/ochota-mieszkanie-w-kamienicy-76-m2-ID4e5xh,1 360 000 zł,Ochota - mieszkanie w kamienicy 76 m2,"Warszawa, Ochota, Filtrowa",2021-11-05,62463219,76 m²,3,wtórny,n/a,2,4,n/a,n/a,n/a,do zamieszkania,n/a,n/a
46,https://www.otodom.pl/pl/oferta/wyjatkowe-4-pok-mieszkanie-w-idealnej-lokalizacji-ID4e5x4,2 264 850 zł,Wyjątkowe 4-pok. mieszkanie w idealnej lokalizacji,"Warszawa, Mokotów",2021-11-05,62463206,"129,42 m²",4,pierwotny,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a
47,https://www.otodom.pl/pl/oferta/przestronne-jednopokojowe-w-swietnym-punkcie-ID4e5vS,429 000 zł,"Przestronne, jednopokojowe w świetnym punkcie","Warszawa, Praga-Północ, ks. Ignacego Kłopotowskiego",2021-11-05,62463194,29 m²,1,wtórny,kamienica,1,4,plastikowe,miejskie,1962,do zamieszkania,350 zł,pełna własność
48,https://www.otodom.pl/pl/oferta/3-pok-w-kamienicy-z-1923-roku-metro-dw-wilenski-ID4e09E,932 000 zł,"3 pok. w kamienicy z 1923 roku, metro Dw. Wileński","Warszawa, Praga-Północ",2021-11-05,62442534,"78,92 m²",3,wtórny,kamienica,4,4,n/a,miejskie,1923,do remontu,800 zł,pełna własność
49,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-garazem-ID4e2xS,770 000 zł,Nowoczesny Apartament z garażem,"Warszawa, Wola, Jana Ostroroga",2021-11-05,62451724,"51,50 m²",2,wtórny,apartamentowiec,5,5,n/a,miejskie,2014,do zamieszkania,700 zł,pełna własność
50,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-2-balkonami-ID4dWxa,675 000 zł,Słoneczne mieszkanie z 2 balkonami !,"Warszawa, Bemowo, Obrońców Tobruku",2021-11-05,62424772,"51,32 m²",2,wtórny,blok,4,5,n/a,miejskie,2008,do zamieszkania,820 zł,pełna własność
